Catalog No	Item Name	Vendor Name
MCA579	Anti-Human CD77 (rat)	AbD Serotec
MCA189F	Anti-Rat IgM heavy chain-FITC (mouse)	AbD Serotec
13928	Compact Reaction Columns	Affymetrix
13912	Filters for compact reaction columns (CRC Lower Filters)	Affymetrix
50-9124	Anti-Human/mouse Phospho-Histone H3 (S28)-eFluor 660	Affymetrix eBioscience
46-9991	Anti-mouse CD184 (CXCR4)-PerCP/eFluor 710	Affymetrix eBioscience
46-0701	Anti-mouse CD70-PerCP/eFluor 710	Affymetrix eBioscience
50-5698	Anti-mouse/rat Ki-67-eFluor 660	Affymetrix eBioscience
48-4317	Steptavidin-eFluor 450	Affymetrix eBioscience
25-4317	Streptavidin PE/Cy7	Affymetrix eBioscience
302108	MycoSensor PCR Assay Kit	Agilent Technologies
600410	PfuTurbo Cx Hotstart DNA Polymerase	Agilent Technologies
240207	StrataClone Blunt PCR Cloning Kit	Agilent Technologies
556421	Annexin V-PE	BD Biosciences
553271	Anti mouse CD43-PE	BD Biosciences
561520	Anti-Human and mouse BCL6	BD Biosciences
561525	Anti-Human Bcl6-Alexa Fluor 647	BD Biosciences
555373	Anti-Human CD10 Purified	BD Biosciences
555439	Anti-Human CD27 Purified	BD Biosciences
555440	Anti-Human CD27-FITC	BD Biosciences
555458	Anti-Human CD38 (mouse)	BD Biosciences
347687	Anti-Human CD38-PE	BD Biosciences
555778	Anti-Human IgD-FITC (mouse)	BD Biosciences
561522	Anti-mouse BCL6-PE	BD Biosciences
553312	Anti-mouse CD11b(Mac-1)-APC (rat)	BD Biosciences
553713	Anti-mouse CD138-Biotin	BD Biosciences
553714	Anti-mouse CD138-PE	BD Biosciences
553785	Anti-mouse CD19-FITC	BD Biosciences
553818	Anti-mouse CD21/CD35-FITC	BD Biosciences
553139	Anti-mouse CD23-PE	BD Biosciences
553051	Anti-mouse CD4-APC	BD Biosciences
553721	Anti-mouse CD40 (Hamster)	BD Biosciences
552366	Anti-mouse CD43 Purified	BD Biosciences
553086	Anti-mouse CD45R/B220-Biotin	BD Biosciences
553093	Anti-mouse CD45R/B220-PercP	BD Biosciences
553023	Anti-mouse CD5-PE	BD Biosciences
553032	Anti-mouse CD8a-PE	BD Biosciences
554258	Anti-mouse CD95-PE	BD Biosciences
550874	Anti-mouse IgG1-APC	BD Biosciences
550003	Anti-mouse IgK-FITC	BD Biosciences
550676	Anti-mouse IgM-APC	BD Biosciences
550676	Anti-mouse IgM-APC	BD Biosciences
553408	Anti-mouse IgM-FITC	BD Biosciences
553885	Anti-rat IgM Purified	BD Biosciences
552598	APC BrdU Flow Kit	BD Biosciences
